scheme_name,state,category,department,eligibility,benefits,documents_required,application_process,official_website,min_income,max_income,min_age,max_age,gender,target_category
Seva Benefit Scheme 11,Rajasthan,Minority,Agriculture,Resident of Rajasthan; category Minority; annual income between 100000 and 600000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/11,100000,600000,0,35,All,Minority
Seva Benefit Scheme 12,West Bengal,Disabled,Women & Child,Resident of West Bengal; category Disabled; annual income between 0 and 500000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/12,0,500000,18,35,All,Disabled
Seva Benefit Scheme 13,Bihar,Senior Citizen,Health,Resident of Bihar; category Senior Citizen; annual income between 50000 and 550000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/13,50000,550000,40,0,Female,Senior Citizen
Seva Benefit Scheme 14,Karnataka,ST,Agriculture,Resident of Karnataka; category ST; annual income between 150000 and 450000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/14,150000,450000,0,80,Female,ST
Seva Benefit Scheme 15,Bihar,Senior Citizen,Skill Development,Resident of Bihar; category Senior Citizen; annual income between 50000 and 550000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/15,50000,550000,21,60,Male,Senior Citizen
Seva Benefit Scheme 16,West Bengal,SC,Women & Child,Resident of West Bengal; category SC; annual income between 150000 and 450000.,Scholarship assistance,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/16,150000,450000,0,80,Female,SC
Seva Benefit Scheme 17,Maharashtra,Minority,Health,Resident of Maharashtra; category Minority; annual income between 100000 and 400000.,Scholarship assistance,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/17,100000,400000,35,40,All,Minority
Seva Benefit Scheme 18,Odisha,Women,Agriculture,Resident of Odisha; category Women; annual income between 50000 and 250000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/18,50000,250000,45,60,All,Women
Seva Benefit Scheme 19,Delhi,Minority,Minority Affairs,Resident of Delhi; category Minority; annual income between 150000 and 650000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/19,150000,650000,18,45,Female,Minority
Seva Benefit Scheme 20,Tamil Nadu,Minority,Minority Affairs,Resident of Tamil Nadu; category Minority; annual income between 150000 and 250000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/20,150000,250000,21,60,All,Minority
Seva Benefit Scheme 21,Tamil Nadu,Farmer,Skill Development,Resident of Tamil Nadu; category Farmer; annual income between 50000 and 250000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/21,50000,250000,0,60,Male,Farmer
Seva Benefit Scheme 22,Rajasthan,Senior Citizen,Rural Development,Resident of Rajasthan; category Senior Citizen; annual income between 50000 and 150000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/22,50000,150000,40,80,Male,Senior Citizen
Seva Benefit Scheme 23,Tamil Nadu,ST,Skill Development,Resident of Tamil Nadu; category ST; annual income between 150000 and 250000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/23,150000,250000,0,80,Female,ST
Seva Benefit Scheme 24,Maharashtra,General,Agriculture,Resident of Maharashtra; category General; annual income between 0 and 300000.,Scholarship assistance,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/24,0,300000,0,0,Male,General
Seva Benefit Scheme 25,Rajasthan,Farmer,Social Welfare,Resident of Rajasthan; category Farmer; annual income between 150000 and 350000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/25,150000,350000,0,80,Male,Farmer
Seva Benefit Scheme 26,Uttar Pradesh,Farmer,Minority Affairs,Resident of Uttar Pradesh; category Farmer; annual income between 0 and 200000.,Scholarship assistance,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/26,0,200000,40,60,All,Farmer
Seva Benefit Scheme 27,Gujarat,Women,Rural Development,Resident of Gujarat; category Women; annual income between 0 and 300000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/27,0,300000,35,60,Female,Women
Seva Benefit Scheme 28,Odisha,Student,Social Welfare,Resident of Odisha; category Student; annual income between 0 and 200000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/28,0,200000,40,80,Female,Student
Seva Benefit Scheme 29,Gujarat,General,Minority Affairs,Resident of Gujarat; category General; annual income between 50000 and 250000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/29,50000,250000,18,0,Male,General
Seva Benefit Scheme 30,West Bengal,General,Agriculture,Resident of West Bengal; category General; annual income between 150000 and 450000.,Scholarship assistance,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/30,150000,450000,0,60,Female,General
Seva Benefit Scheme 31,Rajasthan,Women,Skill Development,Resident of Rajasthan; category Women; annual income between 150000 and 350000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/31,150000,350000,0,60,All,Women
Seva Benefit Scheme 32,Delhi,SC,Social Welfare,Resident of Delhi; category SC; annual income between 150000 and 650000.,Scholarship assistance,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/32,150000,650000,0,80,Female,SC
Seva Benefit Scheme 33,Gujarat,Student,Education,Resident of Gujarat; category Student; annual income between 50000 and 550000.,Livelihood support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/33,50000,550000,18,0,All,Student
Seva Benefit Scheme 34,Rajasthan,Student,Minority Affairs,Resident of Rajasthan; category Student; annual income between 0 and 100000.,Livelihood support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/34,0,100000,45,60,All,Student
Seva Benefit Scheme 35,Uttar Pradesh,Farmer,Health,Resident of Uttar Pradesh; category Farmer; annual income between 0 and 500000.,Scholarship assistance,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/35,0,500000,60,60,All,Farmer
Seva Benefit Scheme 36,Karnataka,Student,Skill Development,Resident of Karnataka; category Student; annual income between 0 and 100000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/36,0,100000,18,80,Female,Student
Seva Benefit Scheme 37,Bihar,SC,Social Welfare,Resident of Bihar; category SC; annual income between 150000 and 250000.,Livelihood support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/37,150000,250000,60,0,Male,SC
Seva Benefit Scheme 38,Uttar Pradesh,Senior Citizen,Social Welfare,Resident of Uttar Pradesh; category Senior Citizen; annual income between 0 and 500000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/38,0,500000,40,0,Female,Senior Citizen
Seva Benefit Scheme 39,Tamil Nadu,Farmer,Health,Resident of Tamil Nadu; category Farmer; annual income between 50000 and 550000.,Scholarship assistance,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/39,50000,550000,35,40,All,Farmer
Seva Benefit Scheme 40,Gujarat,ST,Social Welfare,Resident of Gujarat; category ST; annual income between 100000 and 400000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/40,100000,400000,18,0,All,ST
Seva Benefit Scheme 41,Odisha,ST,Minority Affairs,Resident of Odisha; category ST; annual income between 150000 and 450000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/41,150000,450000,40,60,Female,ST
Seva Benefit Scheme 42,Karnataka,Women,Education,Resident of Karnataka; category Women; annual income between 100000 and 600000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/42,100000,600000,0,45,Male,Women
Seva Benefit Scheme 43,Andhra Pradesh,ST,Health,Resident of Andhra Pradesh; category ST; annual income between 50000 and 350000.,Livelihood support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/43,50000,350000,40,60,Male,ST
Seva Benefit Scheme 44,Uttar Pradesh,Senior Citizen,Education,Resident of Uttar Pradesh; category Senior Citizen; annual income between 100000 and 400000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/44,100000,400000,18,0,Female,Senior Citizen
Seva Benefit Scheme 45,Gujarat,Women,Health,Resident of Gujarat; category Women; annual income between 100000 and 300000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/45,100000,300000,18,80,Male,Women
Seva Benefit Scheme 46,Andhra Pradesh,OBC,Education,Resident of Andhra Pradesh; category OBC; annual income between 100000 and 200000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/46,100000,200000,21,60,All,OBC
Seva Benefit Scheme 47,Rajasthan,SC,Agriculture,Resident of Rajasthan; category SC; annual income between 0 and 200000.,Scholarship assistance,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/47,0,200000,21,0,All,SC
Seva Benefit Scheme 48,Bihar,Disabled,Minority Affairs,Resident of Bihar; category Disabled; annual income between 150000 and 650000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/48,150000,650000,35,40,All,Disabled
Seva Benefit Scheme 49,Tamil Nadu,Minority,Minority Affairs,Resident of Tamil Nadu; category Minority; annual income between 100000 and 200000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/49,100000,200000,60,0,Male,Minority
Seva Benefit Scheme 50,Bihar,ST,Skill Development,Resident of Bihar; category ST; annual income between 150000 and 250000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/50,150000,250000,18,60,All,ST
Seva Benefit Scheme 51,Maharashtra,Women,Social Welfare,Resident of Maharashtra; category Women; annual income between 100000 and 600000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/51,100000,600000,0,0,All,Women
Seva Benefit Scheme 52,Delhi,Student,Women & Child,Resident of Delhi; category Student; annual income between 100000 and 600000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/52,100000,600000,21,60,Female,Student
Seva Benefit Scheme 53,Delhi,SC,Social Welfare,Resident of Delhi; category SC; annual income between 0 and 300000.,Livelihood support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/53,0,300000,21,0,All,SC
Seva Benefit Scheme 54,West Bengal,Senior Citizen,Rural Development,Resident of West Bengal; category Senior Citizen; annual income between 0 and 100000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/54,0,100000,21,80,Male,Senior Citizen
Seva Benefit Scheme 55,Bihar,OBC,Health,Resident of Bihar; category OBC; annual income between 100000 and 300000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/55,100000,300000,40,80,Female,OBC
Seva Benefit Scheme 56,Gujarat,Farmer,Education,Resident of Gujarat; category Farmer; annual income between 100000 and 600000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/56,100000,600000,18,0,Male,Farmer
Seva Benefit Scheme 57,West Bengal,Disabled,Agriculture,Resident of West Bengal; category Disabled; annual income between 0 and 200000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/57,0,200000,0,0,Female,Disabled
Seva Benefit Scheme 58,Delhi,Disabled,Rural Development,Resident of Delhi; category Disabled; annual income between 100000 and 300000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/58,100000,300000,60,0,Female,Disabled
Seva Benefit Scheme 59,Bihar,OBC,Health,Resident of Bihar; category OBC; annual income between 100000 and 400000.,Scholarship assistance,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/59,100000,400000,21,80,All,OBC
Seva Benefit Scheme 60,West Bengal,General,Rural Development,Resident of West Bengal; category General; annual income between 50000 and 250000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/60,50000,250000,40,0,Female,General
Seva Benefit Scheme 61,Maharashtra,Minority,Minority Affairs,Resident of Maharashtra; category Minority; annual income between 50000 and 250000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/61,50000,250000,35,40,All,Minority
Seva Benefit Scheme 62,West Bengal,OBC,Education,Resident of West Bengal; category OBC; annual income between 100000 and 300000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/62,100000,300000,35,40,All,OBC
Seva Benefit Scheme 63,Uttar Pradesh,Disabled,Agriculture,Resident of Uttar Pradesh; category Disabled; annual income between 100000 and 400000.,Livelihood support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/63,100000,400000,0,35,Female,Disabled
Seva Benefit Scheme 64,Tamil Nadu,Farmer,Rural Development,Resident of Tamil Nadu; category Farmer; annual income between 50000 and 150000.,Scholarship assistance,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/64,50000,150000,18,35,Female,Farmer
Seva Benefit Scheme 65,Odisha,Disabled,Social Welfare,Resident of Odisha; category Disabled; annual income between 100000 and 600000.,Scholarship assistance,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/65,100000,600000,18,60,All,Disabled
Seva Benefit Scheme 66,Maharashtra,Women,Minority Affairs,Resident of Maharashtra; category Women; annual income between 150000 and 650000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/66,150000,650000,60,0,All,Women
Seva Benefit Scheme 67,Gujarat,SC,Minority Affairs,Resident of Gujarat; category SC; annual income between 50000 and 250000.,Livelihood support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/67,50000,250000,40,60,All,SC
Seva Benefit Scheme 68,Uttar Pradesh,Women,Women & Child,Resident of Uttar Pradesh; category Women; annual income between 150000 and 350000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/68,150000,350000,21,60,All,Women
Seva Benefit Scheme 69,Bihar,Student,Health,Resident of Bihar; category Student; annual income between 150000 and 350000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/69,150000,350000,40,60,Female,Student
Seva Benefit Scheme 70,West Bengal,General,Rural Development,Resident of West Bengal; category General; annual income between 50000 and 250000.,Scholarship assistance,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/70,50000,250000,18,35,All,General
Seva Benefit Scheme 71,Karnataka,Minority,Health,Resident of Karnataka; category Minority; annual income between 0 and 500000.,Livelihood support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/71,0,500000,18,0,All,Minority
Seva Benefit Scheme 72,Tamil Nadu,General,Education,Resident of Tamil Nadu; category General; annual income between 0 and 300000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/72,0,300000,21,80,Male,General
Seva Benefit Scheme 73,Tamil Nadu,Minority,Agriculture,Resident of Tamil Nadu; category Minority; annual income between 150000 and 350000.,Livelihood support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/73,150000,350000,60,0,All,Minority
Seva Benefit Scheme 74,Delhi,Minority,Rural Development,Resident of Delhi; category Minority; annual income between 0 and 500000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/74,0,500000,0,60,All,Minority
Seva Benefit Scheme 75,West Bengal,Minority,Social Welfare,Resident of West Bengal; category Minority; annual income between 50000 and 350000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/75,50000,350000,21,0,All,Minority
Seva Benefit Scheme 76,Maharashtra,ST,Minority Affairs,Resident of Maharashtra; category ST; annual income between 100000 and 400000.,Livelihood support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/76,100000,400000,18,45,Female,ST
Seva Benefit Scheme 77,Delhi,Minority,Health,Resident of Delhi; category Minority; annual income between 50000 and 550000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/77,50000,550000,21,60,All,Minority
Seva Benefit Scheme 78,Delhi,ST,Women & Child,Resident of Delhi; category ST; annual income between 150000 and 450000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/78,150000,450000,45,60,All,ST
Seva Benefit Scheme 79,West Bengal,Student,Agriculture,Resident of West Bengal; category Student; annual income between 0 and 200000.,Livelihood support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/79,0,200000,40,45,Female,Student
Seva Benefit Scheme 80,Rajasthan,Women,Women & Child,Resident of Rajasthan; category Women; annual income between 50000 and 250000.,Livelihood support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/80,50000,250000,35,60,All,Women
Seva Benefit Scheme 81,Bihar,Farmer,Social Welfare,Resident of Bihar; category Farmer; annual income between 100000 and 300000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/81,100000,300000,0,80,Male,Farmer
Seva Benefit Scheme 82,Delhi,General,Agriculture,Resident of Delhi; category General; annual income between 50000 and 350000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/82,50000,350000,60,60,Male,General
Seva Benefit Scheme 83,Bihar,ST,Education,Resident of Bihar; category ST; annual income between 0 and 200000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/83,0,200000,40,45,Female,ST
Seva Benefit Scheme 84,Bihar,Disabled,Women & Child,Resident of Bihar; category Disabled; annual income between 0 and 200000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/84,0,200000,0,35,Male,Disabled
Seva Benefit Scheme 85,Bihar,Minority,Rural Development,Resident of Bihar; category Minority; annual income between 0 and 100000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/85,0,100000,18,45,All,Minority
Seva Benefit Scheme 86,West Bengal,OBC,Rural Development,Resident of West Bengal; category OBC; annual income between 150000 and 450000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/86,150000,450000,21,35,Female,OBC
Seva Benefit Scheme 87,Maharashtra,Farmer,Minority Affairs,Resident of Maharashtra; category Farmer; annual income between 100000 and 400000.,Scholarship assistance,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/87,100000,400000,0,45,All,Farmer
Seva Benefit Scheme 88,West Bengal,SC,Women & Child,Resident of West Bengal; category SC; annual income between 50000 and 250000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/88,50000,250000,18,45,Female,SC
Seva Benefit Scheme 89,Karnataka,General,Minority Affairs,Resident of Karnataka; category General; annual income between 0 and 100000.,Scholarship assistance,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/89,0,100000,18,60,Male,General
Seva Benefit Scheme 90,Uttar Pradesh,Women,Skill Development,Resident of Uttar Pradesh; category Women; annual income between 0 and 300000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/90,0,300000,0,60,Female,Women
Seva Benefit Scheme 91,Delhi,Minority,Women & Child,Resident of Delhi; category Minority; annual income between 150000 and 250000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/91,150000,250000,18,60,Male,Minority
